89	intra	35776.R	35777.R	17	1	1	16422951	16967258	35776.O	35777.O	11	11	1	1	62495800	62629833	59219457	59493107	50000	494307	1
90	intra	35777.R	35778.R	17	1	1	21293117	25575650	35777.O	35778.O	11	11	1	-1	62668398	61990866	79095864	79169217	50000	4232533	-3
91	intra	35778.R	35779.R	17	1	1	28803901	29108377	35778.O	35779.O	11	11	-1	-1	76512478	76590043	84709762	84796599	50000	254476	1
92	intra	35779.R	35780.R	17	1	1	36150511	36401926	35779.O	35780.O	11	11	-1	1	79095864	79169217	97135287	97146359	50000	201415	-4
93	intra	35780.R	35781.R	17	1	1	43588822	43756746	35780.O	35781.O	11	11	1	-1	103438690	103315115	104291027	104409373	50000	117924	-3
94	intra	35781.R	35782.R	17	1	1	45100591	45238646	35781.O	35782.O	11	11	-1	1	103438690	103315115	104291027	104409373	50000	88055	-3
95	intra	35782.R	35783.R	17	1	1	45468436	45610334	35782.O	35783.O	11	11	1	1	104571957	105019838	84709762	84796599	50000	91898	1
96	intra	35783.R	35784.R	17	1	1	60276198	60533588	35783.O	35784.O	11	11	1	1	97135287	97146359	104571957	105019838	50000	207390	-3
97	intra	35784.R	35785.R	17	1	1	62710387	63040972	35784.O	35785.O	11	11	1	-1	106893619	106750478	109225986	109324991	50000	280585	-3
98	intra	35785.R	35786.R	17	1	1	66060690	66274207	35785.O	35786.O	11	11	-1	1	106893619	106750478	109225986	109324991	50000	163517	-3
99	inter	35787.R	35788.R	18	1	1	549224	733166	35787.O	35788.O	18	5	-1	-1	9380644	9631966	32965506	33135252	50000	133942	1
100	inter	35788.R	35789.R	18	1	1	794532	911722	35788.O	35789.O	5	17	-1	1	32745582	32931560	93431010	93603683	50000	67190	1
101	intra	35789.R	35790.R	18	1	1	2484400	2584401	35789.O	35790.O	17	17	1	-1	95074153	95272651	71850821	71951236	50000	50001	1
102	inter	35790.R	35791.R	18	1	1	9922541	10252644	35790.O	35791.O	17	18	-1	1	65840677	65958827	62726193	62913317	50000	280103	1
103	intra	35791.R	35792.R	18	1	1	11468916	11699353	35791.O	35792.O	18	18	1	1	63744282	63871671	67114747	67254713	50000	180437	1
104	inter	35792.R	35793.R	18	1	1	13821680	15066525	35792.O	35793.O	18	16	1	-1	68514277	68703110	86626655	86545095	50000	1194845	-4
105	inter	35793.R	35794.R	18	1	1	15105234	18578605	35793.O	35794.O	16	18	-1	1	98139038	86545095	10022841	10112977	50000	3423371	-3
106	intra	35794.R	35795.R	18	1	1	41023893	41405914	35794.O	35795.O	18	18	1	-1	31685646	31843142	80126116	80286491	50000	332021	1
107	intra	35795.R	35796.R	18	1	1	54194819	54317924	35795.O	35796.O	18	18	-1	1	68514277	68703110	63744282	63871671	50000	73105	1
108	inter	35796.R	35797.R	18	1	1	58151586	58401903	35796.O	35797.O	18	1	1	1	67114747	67254713	102745593	105745593	50000	200317	1
109	inter	35797.R	35798.R	18	1	1	65278593	66389761	35797.O	35798.O	1	18	1	-1	113912311	115320399	90663494	90772031	50000	1061168	1
110	inter	35799.R	35800.R	19	1	1	4123052	4279082	35799.O	35800.O	10	17	-1	1	78260783	79039698	55652107	56141900	50000	106030	1
111	inter	35800.R	35801.R	19	1	1	6812967	7162183	35800.O	35801.O	17	8	1	1	57424375	59061923	200854	3200854	50000	299216	1
112	inter	35801.R	35802.R	19	1	1	8021013	8416687	35801.O	35802.O	8	17	1	-1	4275575	4834449	33935993	34092414	50000	345674	1
113	inter	35802.R	35803.R	19	1	1	8761037	8969008	35802.O	35803.O	17	9	-1	1	32790167	33617963	18152752	18308005	50000	157971	1
114	inter	35803.R	35804.R	19	1	1	11639880	12795060	35803.O	35804.O	9	8	1	-1	21886407	22185934	87574638	87832679	50000	1105180	1
115	inter	35804.R	35805.R	19	1	1	14633008	15102169	35804.O	35805.O	8	10	-1	-1	85940128	86140536	78260783	79039698	50000	419161	1
116	inter	35805.R	35806.R	19	1	1	15212910	15320296	35805.O	35806.O	10	17	-1	1	77775454	78030734	32152063	32307628	50000	57386	1
